Title,Genre,Release Year,Description
Splinter Cell: Chaos Theory,Stealth,2005,Sam Fisher stops a cyber conspiracy with refined stealth and open-ended missions.
Battlefield 2,FPS,2005,Modern warfare with large maps vehicles and squad-based multiplayer emphasizing teamwork.
Forza Motorsport,Sim Racing,2005,A realistic racer with customizable cars and precise handling competing on global tracks.
God of War,Action,2005,Kratos battles Greek gods with brutal combos and epic set pieces in a mythic saga.
Nintendogs,Pet Sim,2005,Players care for virtual puppies training and bonding through touchscreen interactions.
Guitar Hero,Music,2005,Players strum plastic guitars to hit notes in rock songs sparking a rhythm game craze.
Fire Emblem: Path of Radiance,Strategy RPG,2005,Ike leads a mercenary band with deep tactical battles and a compelling story.
Animal Crossing: Wild World,Life Sim,2005,Players live in a village socializing with animals and decorating in a portable world.
Pokémon Emerald,JRPG,2005,An enhanced Hoenn adventure with both Team Magma and Aqua adding Battle Frontier.
Civilization IV,4X Strategy,2005,Players build empires with deeper diplomacy and religion systems refining the 4X formula.
Devil May Cry 3: Dante’s Awakening,Action,2005,Dante battles demons with stylish combat introducing style-switching for combos.
The Legend of Zelda: Twilight Princess,Action-Adventure,2006,Link transforms into a wolf to save Hyrule with dark tones and epic dungeons.
Wii Sports,Sports,2006,Motion-controlled tennis bowling and more introducing casual gaming to millions.
Gears of War,Third-Person Shooter,2006,Marcus Fenix battles Locust with cover-based shooting and gritty co-op action.
Okami,Action-Adventure,2006,Amaterasu a wolf goddess restores a vibrant world using celestial brush techniques.
Bully,Open World,2006,Jimmy Hopkins navigates a boarding school with open-world pranks and social dynamics.
Elder Scrolls IV: Oblivion,CRPG,2006,Players explore Cyrodiil closing Oblivion gates in a vast choice-driven RPG.
Dead Rising,Action-Adventure,2006,Frank West survives a zombie mall using improvised weapons and time-sensitive missions.
Final Fantasy XII,JRPG,2006,Balthier and Ashe fight an empire in Ivalice with open-world exploration and gambit-based combat.
New Super Mario Bros.,Platformer,2006,Mario rescues Peach in a modernized 2D platformer blending classic and new mechanics.
Company of Heroes,Real-Time Strategy,2006,WWII squads fight with dynamic cover and tactical depth redefining RTS battles.
Pokémon Diamond and Pearl,JRPG,2007,Players explore Sinnoh catching new Pokémon and battling with online features.
BioShock,FPS,2007,Jack explores Rapture blending shooting plasmids and moral choices in a dystopian narrative.
Halo 3,FPS,2007,Master Chief concludes the Covenant war with epic campaigns and robust multiplayer.
Super Mario Galaxy,3D Platformer,2007,Mario travels planetoids to save Peach with gravity-defying platforming and stunning visuals.
Portal,Puzzle,2007,Players solve test chambers with a portal gun guided by GLaDOS’s witty sinister commentary.
Call of Duty 4: Modern Warfare,FPS,2007,Soldiers fight in modern conflicts with cinematic campaigns and addictive multiplayer.
Mass Effect,Action RPG,2007,Commander Shepard explores the galaxy with branching dialogue and squad-based combat.
Uncharted: Drake’s Fortune,Action-Adventure,2007,Nathan Drake hunts treasure blending platforming shooting and cinematic storytelling.
Crysis,FPS,2007,Nomad uses a nanosuit to fight aliens with open levels and cutting-edge graphics.
The Witcher,Action RPG,2007,Geralt hunts monsters in a morally gray world with deep choices and nonlinear quests.
Team Fortress 2,FPS,2007,Class-based multiplayer shooter with cartoonish art emphasizing teamwork and varied roles.
Fallout 3,Action RPG,2008,The Lone Wanderer explores a post-apocalyptic D.C. with open-world freedom and moral dilemmas.
Grand Theft Auto IV,Open World,2008,Niko Bellic navigates Liberty City’s underworld with a gritty story and expansive gameplay.
Left 4 Dead,Co-op Shooter,2008,Survivors battle zombie hordes with dynamic AI and cooperative multiplayer intensity.
Dead Space,Survival Horror,2008,Isaac Clarke fights necromorphs on a mining ship with dismemberment-focused combat and horror.
Gears of War 2,Third-Person Shooter,2008,Marcus Fenix delves deeper into the Locust war with refined cover mechanics and co-op.
Fable II,Action RPG,2008,Players shape a hero’s life in Albion with family dynamics and moral choices affecting the world.
Mirror’s Edge,Action,2008,Faith runs and parkours through a dystopian city with fluid movement and minimalist combat.
Spore,Simulation,2008,Players evolve creatures from cells to spacefarers blending creativity and strategy across stages.
Braid,Platformer,2008,Tim manipulates time to solve puzzles with painterly art and a narrative exploring regret.
Burnout Paradise,Open World Racing,2008,Players race and crash in Paradise City with seamless multiplayer and open-world events.
Super Smash Bros. Brawl,Fighting,2008,Nintendo characters battle with new Subspace Emissary mode and expanded rosters.
Batman: Arkham Asylum,Action-Adventure,2009,Batman battles Joker in Arkham with stealth combat and detective mechanics.
Dragon Age: Origins,CRPG,2009,A Warden unites Ferelden against a Blight with deep role-playing and tactical combat.
Uncharted 2: Among Thieves,Action-Adventure,2009,Nathan Drake chases a lost fleet with cinematic set pieces and refined gameplay.
Borderlands,Looter Shooter,2009,Vault Hunters loot Pandora blending FPS action with RPG leveling and co-op chaos.
Assassin’s Creed II,Action-Adventure,2009,Ezio Auditore seeks revenge in Renaissance Italy with open-world parkour and refined stealth.
Demon’s Souls,Action RPG,2009,Players brave Boletaria’s brutal world with punishing combat and innovative online features.
Plants vs. Zombies,Tower Defense,2009,Players use plants to fend off quirky zombies with strategic depth and charming art.
Bayonetta,Action,2009,Bayonetta battles angels with stylish combos blending fast-paced combat and campy storytelling.
Minecraft,Sandbox,2009,Players build and explore blocky worlds with limitless creativity and survival challenges.
Pokémon HeartGold and SoulSilver,JRPG,2009,Remakes of Gold and Silver with updated visuals and Pokémon following players in Johto.
Mass Effect 2,Action RPG,2010,Shepard builds a team to stop Collectors with refined shooting and deep companion stories.
Red Dead Redemption,Open World,2010,John Marston hunts outlaws in a dying Wild West with expansive exploration and moral choices.
Super Mario Galaxy 2,3D Platformer,2010,Mario explores new galaxies with tighter levels and Yoshi’s return for creative platforming.
God of War III,Action,2010,Kratos seeks revenge on Olympus with brutal combat and massive-scale battles.
Heavy Rain,Interactive Drama,2010,Players control four characters in a cinematic thriller with choices shaping a missing-child mystery.
BioShock 2,FPS,2010,Subject Delta explores Rapture blending plasmids and shooting with a personal story.
Xenoblade Chronicles,JRPG,2010,Shulk wields the Monado to stop Mechon with vast open worlds and real-time combat.
Fallout: New Vegas,Action RPG,2010,The Courier shapes the Mojave’s fate with deep role-playing and faction-driven choices.
Limbo,Platformer,2010,A boy navigates a monochromatic world with atmospheric puzzles and minimalist horror.
Assassin’s Creed: Brotherhood,Action-Adventure,2010,Ezio builds a brotherhood in Rome with multiplayer and refined open-world stealth.
Donkey Kong Country Returns,Platformer,2010,Donkey and Diddy reclaim bananas with tight platforming and vibrant levels.
